year,direction,priority,scorer_version,count
2023,fea_surrogate,Low,v3,574
2023,fea_surrogate,Medium,v3,538
2023,hip_implant,Exclude,v3,301
2023,hip_implant,High,v3,6
2023,hip_implant,Low,v1,2
2023,hip_implant,Low,v3,74
2023,hip_implant,Medium,v3,23
2024,ai_bioprinting,Exclude,v1,38
2024,ai_bioprinting,Exclude,v3,743
2024,ai_bioprinting,High,v3,11
2024,ai_bioprinting,Low,v1,91
2024,ai_bioprinting,Low,v3,520
2024,ai_bioprinting,Medium,v1,9
2024,ai_bioprinting,Medium,v3,54
2024,am_biomedical,Exclude,v1,60
2024,am_biomedical,Exclude,v3,802
2024,am_biomedical,High,v1,2
2024,am_biomedical,High,v3,19
2024,am_biomedical,Low,v1,60
2024,am_biomedical,Low,v3,433
2024,am_biomedical,Medium,v1,24
2024,am_biomedical,Medium,v3,122
2024,fea_surrogate,Exclude,v1,46
2024,fea_surrogate,Exclude,v3,679
2024,fea_surrogate,High,v3,76
2024,fea_surrogate,Low,v1,39
2024,fea_surrogate,Low,v3,842
2024,fea_surrogate,Medium,v1,30
2024,fea_surrogate,Medium,v3,536
2024,hip_implant,Exclude,v1,42
2024,hip_implant,Exclude,v3,563
2024,hip_implant,High,v3,8
2024,hip_implant,Low,v1,19
2024,hip_implant,Low,v3,96
2024,hip_implant,Medium,v1,4
2024,hip_implant,Medium,v3,20
2025,ai_bioprinting,Exclude,v3,498
2025,ai_bioprinting,High,v3,38
2025,ai_bioprinting,Low,v1,1
2025,ai_bioprinting,Low,v3,1122
2025,ai_bioprinting,Medium,v3,176
2025,am_biomedical,Exclude,v3,678
2025,am_biomedical,High,v3,68
2025,am_biomedical,Low,v3,717
2025,am_biomedical,Medium,v3,217
2025,fea_surrogate,Exclude,v3,745
2025,fea_surrogate,High,v3,183
2025,fea_surrogate,Low,v3,1296
2025,fea_surrogate,Medium,v3,729
2025,hip_implant,Exclude,v3,698
2025,hip_implant,High,v1,1
2025,hip_implant,High,v3,26
2025,hip_implant,Low,v1,1
2025,hip_implant,Low,v3,194
2025,hip_implant,Medium,v3,37
2026,ai_bioprinting,Exclude,v3,228
2026,ai_bioprinting,High,v3,22
2026,ai_bioprinting,Low,v3,598
2026,ai_bioprinting,Medium,v3,121
2026,am_biomedical,Exclude,v3,331
2026,am_biomedical,High,v3,42
2026,am_biomedical,Low,v3,409
2026,am_biomedical,Medium,v3,145
2026,fea_surrogate,Exclude,v3,361
2026,fea_surrogate,High,v3,98
2026,fea_surrogate,Low,v3,678
2026,fea_surrogate,Medium,v3,398
2026,hip_implant,Exclude,v3,511
2026,hip_implant,High,v3,6
2026,hip_implant,Low,v3,119
2026,hip_implant,Medium,v3,20
